"","species","n"
"866","Monotaxis grandoculis",5
"867","Nemichthys curvirostris",5
"868","Nessorhamphus danae",5
"869","Notoscopelus japonicus",5
"870","Oceanodroma melania",5
"871","Omosudis lowii",5
"872","Ostracion meleagris",5
"873","Paradiplospinus antarcticus",5
"874","Photostylus pycnopterus",5
"875","Polyipnus aquavitus",5
"876","Polyipnus kiwiensis",5
"877","Priolepis aureoviridis",5
"878","Protomyctophum beckeri",5
"879","Pseudobalistes flavimarginatus",5
"880","Puffinus creatopus",5
"881","Remora australis",5
"882","Rouleina danae",5
"883","Salarias fasciatus",5
"884","Scarus oviceps",5
"885","Scopelarchoides signifer",5
"886","Scopelarchus michaelsarsi",5
"887","Terapon jarbua",5
"888","Tetragonurus pacificus",5
"889","Thalassoma lutescens",5
"890","Thalia democratica",5
"891","Thermichthys hollisi",5
"892","Torpedo semipelagica",5
"893","Zalophus californianus",5
"894","Aldrovandia affinis",4
"895","Alopias vulpinus",4
"896","Apristurus pinguis",4
"897","Argyripnus electronus",4
"898","Argyripnus iridescens",4
"899","Asquamiceps hjorti",4
"900","Auxis brachydorax",4
"901","Avocettina acuticeps",4
"902","Avocettina bowersii",4
"903","Balistapus undulatus",4
"904","Bassozetus nasus",4
"905","Benthodesmus pacificus",4
"906","Borostomias antarcticus",4
"907","Borostomias elucens",4
"908","Borostomias panamensis",4
"909","Cantherhines dumerilii",4
"910","Caperea marginata",4
"911","Carcharhinus limbatus",4
"912","Centroscyllium excelsum",4
"913","Ceratias holboelli",4
"914","Chanos chanos",4
"915","Chiasmodon microcephalus",4
"916","Chiasmodon niger",4
"917","Chromis abyssicola",4
"918","Coccorella atrata",4
"919","Coelorinchus cookianus",4
"920","Coelorinchus immaculatus",4
"921","Coelorinchus maurofasciatus",4
"922","Coelorinchus spilonotus",4
"923","Conger wilsoni",4
"924","Coryphaenoides yaquinae",4
"925","Cypselurus callopterus",4
"926","Cyttomimus stelgis",4
"927","Dasyatis thetidis",4
"928","Decapterus macarellus",4
"929","Desmodema lorum",4
"930","Diaphus watasei",4
"931","Diplophos rebainsi",4
"932","Echidna nebulosa",4
"933","Embassichthys bathybius",4
"934","Emmelichthys struhsakeri",4
"935","Epigonus atherinoides",4
"936","Erilepis zonifer",4
"937","Eutaeniophorus festivus",4
"938","Evermannella balbo",4
"939","Glossanodon nazca",4
"940","Glyphis garricki",4
"941","Gobiesox maeandricus",4
"942","Grammonus diagrammus",4
"943","Gymnoscopelus piabilis",4
"944","Gymnothorax moringa",4
"945","Halosauropsis macrochir",4
"946","Haplophryne mollis",4
"947","Heniochus chrysostomus",4
"948","Hexanchus griseus",4
"949","Hime pyrhistion",4
"950","Hippichthys spicifer",4
"951","Holtbyrnia laticauda",4
"952","Hoplostethus crassispinus",4
"953","Hydrurga leptonyx",4
"954","Hymenocephalus maculicaudus",4
"955","Ichthyococcus australis",4
"956","Kogia breviceps",4
"957","Kuhlia rupestris",4
"958","Labroides bicolor",4
"959","Lampadena dea",4
"960","Lampanyctus intricarius",4
"961","Leptostomias analis",4
"962","Luvarus imperialis",4
"963","Magnisudis atlantica",4
"964","Malacosteus australis",4
"965","Melamphaes suborbitalis",4
"966","Myrichthys colubrinus",4
"967","Nannobrachium regale",4
"968","Neocyttus psilorhynchus",4
"969","Nessorhamphus ingolfianus",4
"970","Nettastoma falcinaris",4
"971","Nezumia kapala",4
"972","Notacanthus abbotti",4
"973","Notopogon fernandezianus",4
"974","Oikopleura (Vexillaria) albicans",4
"975","Oneirodes thompsoni",4
"976","Paranotothenia magellanica",4
"977","Paraulopus novaeseelandiae",4
"978","Parupeneus barberinus",4
"979","Periophthalmus kalolo",4
"980","Phaethon aethereus",4
"981","Photonectes parvimanus",4
"982","Physiculus japonicus",4
"983","Polymetme andriashevi",4
"984","Poromitra atlantica",4
"985","Puffinus pacificus",4
"986","Pygoscelis papua",4
"987","Rhinecanthus aculeatus",4
"988","Sargocentron spiniferum",4
"989","Scopelosaurus harryi",4
"990","Scorpaenichthys marmoratus",4
"991","Serrivomer jesperseni",4
"992","Setarches guentheri",4
"993","Siganus doliatus",4
"994","Siganus spinus",4
"995","Somniosus antarcticus",4
"996","Stegastes albifasciatus",4
"997","Stegastes nigricans",4
"998","Stemonosudis rothschildi",4
"999","Stenobrachius nannochir",4
"1000","Stercorarius maccormicki",4
"1001","Stercorarius pomarinus",4
"1002","Stomias longibarbatus",4
"1003","Styela plicata",4
"1004","Synagrops philippinensis",4
"1005","Synodus variegatus",4
"1006","Thamnaconus modestus",4
"1007","Trachelochismus pinnulatus",4
"1008","Trachinops caudimaculatus",4
"1009","Tripterophycis svetovidovi",4
"1010","Tylosurus crocodilus",4
"1011","Xeneretmus latifrons",4
"1012","Xyelacyba myersi",4
"1013","Zenarchopterus dispar",4
"1014","Acanthurus dussumieri",3
"1015","Aldrovandia phalacra",3
"1016","Alepisaurus brevirostris",3
"1017","Amarsipus carlsbergi",3
"1018","Amblycirrhitus bimacula",3
"1019","Amblyraja hyperborea",3
"1020","Anguilla bicolor",3
"1021","Antennatus coccineus",3
"1022","Antigonia aurorosea",3
"1023","Apogon coccineus",3
"1024","Apogonops anomalus",3
"1025","Araiophos eastropas",3
"1026","Arctocephalus tropicalis",3
"1027","Ariosoma marginatum",3
"1028","Astronesthes boulengeri",3
"1029","Astronesthes illuminatus",3
"1030","Astronesthes indopacificus",3
"1031","Astronesthes lampara",3
"1032","Astronesthes nigroides",3
"1033","Awaous guamensis",3
"1034","Bathophilus indicus",3
"1035","Bathophilus kingi",3
"1036","Bathygadus spongiceps",3
"1037","Bathylagichthys australis",3
"1038","Bathylagichthys longipinnis",3
"1039","Bathylychnops exilis",3
"1040","Bathytyphlops marionae",3
"1041","Benthalbella elongata",3
"1042","Bertella idiomorpha",3
"1043","Bodianus oxycephalus",3
"1044","Bregmaceros japonicus",3
"1045","Bregmaceros mcclellandi",3
"1046","Brotula multibarbata",3
"1047","Brotulotaenia crassa",3
"1048","Brotulotaenia nielseni",3
"1049","Callogobius depressus",3
"1050","Canthigaster jactator",3
"1051","Capropygia unistriata",3
"1052","Carcharhinus obscurus",3
"1053","Caristius macropus",3
"1054","Caulophryne jordani",3
"1055","Caulophryne pelagica",3
"1056","Centrobranchus choerocephalus",3
"1057","Centropyge bispinosa",3
"1058","Cetostoma regani",3
"1059","Chaetodon miliaris",3
"1060","Chaetodon trifasciatus",3
"1061","Chascanopsetta megagnatha",3
"1062","Chaunax umbrinus",3
"1063","Cheilinus trilobatus",3
"1064","Cheilodipterus quinquelineatus",3
"1065","Cheilopogon atrisignis",3
"1066","Cheilopogon nigricans",3
"1067","Cheilopogon papilio",3
"1068","Cheilopogon spilonotopterus",3
"1069","Cheilotrema saturnum",3
"1070","Cherublemma emmelas",3
"1071","Chimaera owstoni",3
"1072","Chromis acares",3
"1073","Chromis agilis",3
"1074","Chromis vanderbilti",3
"1075","Chrysiptera taupou",3
"1076","Cirrhilabrus balteatus",3
"1077","Cirrhilabrus luteovittatus",3
"1078","Cirripectes stigmaticus",3
"1079","Coelorinchus celaenostomus",3
"1080","Coelorinchus nazcaensis",3
"1081","Coelorinchus spathulatus",3
"1082","Conger cinereus",3
"1083","Conger myriaster",3
"1084","Congiopodus peruvianus",3
"1085","Corythoichthys schultzi",3
"1086","Cyclothone obscura",3
"1087","Dascyllus reticulatus",3
"1088","Diaphus anderseni",3
"1089","Diaphus gigas",3
"1090","Diaphus subtilis",3
"1091","Diodon holocanthus",3
"1092","Diplophos australis",3
"1093","Doliolum denticulatum",3
"1094","Dysomma anguillare",3
"1095","Echeneis naucrates",3
"1096","Enophrys bison",3
"1097","Entosphenus tridentatus",3
"1098","Epibulus insidiator",3
"1099","Eucryphycus californicus",3
"1100","Euleptorhamphus viridis",3
"1101","Eumecichthys fiski",3
"1102","Eustomias bibulboides",3
"1103","Eustomias bimargaritoides",3
"1104","Eustomias cryptobulbus",3
"1105","Eustomias inconstans",3
"1106","Exocoetus obtusirostris",3
"1107","Exocoetus peruvianus",3
"1108","Fratercula corniculata",3
"1109","Gasterochisma melampus",3
"1110","Gonichthys cocco",3
"1111","Halichoeres hortulanus",3
"1112","Halichoeres margaritaceus",3
"1113","Harpagifer andriashevi",3
"1114","Hemerocoetes macrophthalmus",3
"1115","Hemilepidotus spinosus",3
"1116","Heterophotus ophistoma",3
"1117","Hexanchus nakamurai",3
"1118","Hysterocarpus traskii",3
"1119","Indopacetus pacificus",3
"1120","Kali kerberti",3
"1121","Kaupichthys hyoproroides",3
"1122","Kuronezumia leonis",3
"1123","Lactoria fornasini",3
"1124","Lagenorhynchus obscurus",3
"1125","Lampanyctus macdonaldi",3
"1126","Lampanyctus simulator",3
"1127","Larus delawarensis",3
"1128","Larus glaucescens",3
"1129","Lethrinus xanthochilus",3
"1130","Limnichthys fasciatus",3
"1131","Lophiodes naresi",3
"1132","Lophodolos acanthognathus",3
"1133","Lumpenus lampretaeformis",3
"1134","Macroramphosus gracilis",3
"1135","Melanocetus murrayi",3
"1136","Melanostigma gelatinosum",3
"1137","Melanostomias valdiviae",3
"1138","Menticirrhus undulatus",3
"1139","Microstoma microstoma",3
"1140","Miroscyllium sheikoi",3
"1141","Molgula millari",3
"1142","Monocentris reedi",3
"1143","Morus serrator",3
"1144","Mustelus lenticulatus",3
"1145","Myripristis kuntee",3
"1146","Myripristis pralinia",3
"1147","Neonesthes capensis",3
"1148","Neosebastes bougainvillii",3
"1149","Notacanthus chemnitzii",3
"1150","Notopogon xenosoma",3
"1151","Notothenia microlepidota",3
"1152","Oceanodroma homochroa",3
"1153","Odontomacrurus murrayi",3
"1154","Oligocottus maculosus",3
"1155","Oneirodes bulbosus",3
"1156","Opisthoproctus grimaldii",3
"1157","Oreosoma atlanticum",3
"1158","Ostorhinchus cyanosoma",3
"1159","Pagodroma nivea",3
"1160","Parapercis phenax",3
"1161","Parascorpaena picta",3
"1162","Paristiopterus labiosus",3
"1163","Persparsia kopua",3
"1164","Photonectes braueri",3
"1165","Phoxocampus diacanthus",3
"1166","Plagiogeneion macrolepis",3
"1167","Platybelone argalus",3
"1168","Plectranthias exsul",3
"1169","Plectrogenium barsukovi",3
"1170","Polyipnus ruggeri",3
"1171","Polymixia yuri",3
"1172","Polyplacapros tyleri",3
"1173","Polyprion americanus",3
"1174","Pomacentrus imitator",3
"1175","Pomacentrus moluccensis",3
"1176","Pristiapogon fraenatus",3
"1177","Procellaria westlandica",3
"1178","Pseudanthias bicolor",3
"1179","Pseudocetonurus septifer",3
"1180","Pteraclis aesticola",3
"1181","Puffinus gravis",3
"1182","Rhombosolea tapirina",3
"1183","Rhynchactis macrothrix",3
"1184","Rhynchostracion nasus",3
"1185","Rouleina maderensis",3
"1186","Sargocentron diadema",3
"1187","Scopeloberyx robustus",3
"1188","Scuticaria tigrina",3
"1189","Sebastes auriculatus",3
"1190","Sebastes entomelas",3
"1191","Sebastes iracundus",3
"1192","Sebastes miniatus",3
"1193","Sebastes paucispinis",3
"1194","Sebastes ruberrimus",3
"1195","Serrivomer samoensis",3
"1196","Serrivomer sector",3
"1197","Setipinna taty",3
"1198","Somniosus pacificus",3
"1199","Sphagemacrurus pumiliceps",3
"1200","Stellifer chrysoleuca",3
"1201","Stemonosudis molesta",3
"1202","Stethojulis balteata",3
"1203","Stlengis distoechus",3
"1204","Stomias danae",3
"1205","Styela squamosa",3
"1206","Symphysanodon maunaloae",3
"1207","Synchiropus kinmeiensis",3
"1208","Synodus synodus",3
"1209","Takifugu stictonotus",3
"1210","Tetractenos glaber",3
"1211","Thalassarche salvini",3
"1212","Thalassenchelys coheni",3
"1213","Thalassoma duperrey",3
"1214","Thalassoma purpureum",3
"1215","Trachipterus altivelis",3
"1216","Trachipterus jacksonensis",3
"1217","Trachurus novaezelandiae",3
"1218","Triaenodon obesus",3
"1219","Trimma caesiura",3
"1220","Uropterygius xanthopterus",3
"1221","Ventichthys biospeedoi",3
"1222","Ventrifossa macrodon",3
"1223","Ventrifossa teres",3
"1224","Woodsia meyerwaardeni",3
"1225","Zebrasoma scopas",3
"1226","Zenion hololepis",3
"1227","Ablabys taenianotus",2
"1228","Abudefduf abdominalis",2
"1229","Abyssobrotula galatheae",2
"1230","Acanthurus olivaceus",2
"1231","Achirus lineatus",2
"1232","Aetobatus narinari",2
"1233","Aldrichetta forsteri",2
"1234","Alopias pelagicus",2
"1235","Amblygobius phalaena",2
"1236","Amphiprion rubrocinctus",2
"1237","Anatolanthias apiomycter",2
"1238","Anchoviella lepidentostole",2
"1239","Anguilla dieffenbachii",2
"1240","Anguilla marmorata",2
"1241","Apogon crassiceps",2
"1242","Apristurus spongiceps",2
"1243","Argentina stewarti",2
"1244","Arnoglossus scapha",2
"1245","Arothron mappa",2
"1246","Arripis trutta",2
"1247","Ascidia melanostoma",2
"1248","Assurger anzac",2
"1249","Astronesthes bilobatus",2
"1250","Astronesthes ijimai",2
"1251","Astronesthes lucibucca",2
"1252","Atherinomorus lacunosus",2
"1253","Atule mate",2
"1254","Auxis rochei",2
"1255","Balistes capriscus",2
"1256","Balistoides viridescens",2
"1257","Barathronus pacificus",2
"1258","Bathycongrus aequoreus",2
"1259","Bathygadus furvescens",2
"1260","Bathylagoides wesethi",2
"1261","Bathylagus tenuis",2
"1262","Bathyonus caudalis",2
"1263","Bathypterois atricolor",2
"1264","Belonoperca chabanaudi",2
"1265","Benthalbella infans",2
"1266","Blenniella chrysospilos",2
"1267","Blenniella gibbifrons",2
"1268","Blenniella periophthalmus",2
"1269","Bodianus unimaculatus",2
"1270","Bolinichthys distofax",2
"1271","Bolinichthys supralateralis",2
"1272","Bothus myriaster",2
"1273","Branchiostoma belcheri",2
"1274","Caesioperca lepidoptera",2
"1275","Canthigaster margaritata",2
"1276","Canthigaster solandri",2
"1277","Carcharhinus altimus",2
"1278","Carcharhinus brevipinna",2
"1279","Carcharhinus melanopterus",2
"1280","Carcharhinus porosus",2
"1281","Careproctus longifilis",2
"1282","Caristius meridionalis",2
"1283","Cataetyx niki",2
"1284","Centrodraco gegonipus",2
"1285","Centrophorus harrissoni",2
"1286","Centropyge potteri",2
"1287","Ceratias uranoscopus",2
"1288","Chaenophryne ramifera",2
"1289","Chaetodon citrinellus",2
"1290","Chaetodon collare",2
"1291","Chaetodon ephippium",2
"1292","Chaetodon ornatissimus",2
"1293","Chaetodon oxycephalus",2
"1294","Chaetodon triangulum",2
"1295","Chaetodon ulietensis",2
"1296","Chaetodon unimaculatus",2
"1297","Chascanopsetta crumenalis",2
"1298","Chascanopsetta lugubris",2
"1299","Cheilodactylus spectabilis",2
"1300","Cheilopogon abei",2
"1301","Cheilopogon pinnatibarbatus",2
"1302","Chilomycterus reticulatus",2
"1303","Chimaera lignaria",2
"1304","Chimaera panthera",2
"1305","Chlorophthalmus proridens",2
"1306","Chlorurus microrhinos",2
"1307","Cirrhitops fasciatus",2
"1308","Cirripectes quagga",2
"1309","Citharichthys fragilis",2
"1310","Citharichthys stigmaeus",2
"1311","Clinocottus acuticeps",2
"1312","Coelorinchus denticulatus",2
"1313","Coelorinchus parvifasciatus",2
"1314","Congiopodus leucopaecilus",2
"1315","Conocara kreffti",2
"1316","Coregonus clupeaformis",2
"1317","Coryphaenoides filicauda",2
"1318","Coryphaenoides leptolepis",2
"1319","Coryphaenoides nasutus",2
"1320","Corythoichthys intestinalis",2
"1321","Crenimugil crenilabis",2
"1322","Cristiceps australis",2
"1323","Crossorhombus kobensis",2
"1324","Ctenochaetus flavicauda",2
"1325","Ctenochaetus marginatus",2
"1326","Ctenochaetus strigosus",2
"1327","Cyclosalpa strongylenteron",2
"1328","Cymatogaster aggregata",2
"1329","Dactylopsaron dimorphicum",2
"1330","Dasyatis brevis",2
"1331","Dasyatis longa",2
"1332","Decapterus muroadsi",2
"1333","Diaphus aliciae",2
"1334","Diaphus diadematus",2
"1335","Diaphus knappi",2
"1336","Diaphus parini",2
"1337","Diaphus similis",2
"1338","Diaphus trachops",2
"1339","Diapterus brevirostris",2
"1340","Dicarpa pacifica",2
"1341","Diodon hystrix",2
"1342","Diplogrammus goramensis",2
"1343","Doliolina (Doliolina) obscura",2
"1344","Doliolina (Doliolinetta) separata",2
"1345","Dolopichthys jubatus",2
"1346","Dunckerocampus dactyliophorus",2
"1347","Ebosia bleekeri",2
"1348","Echinomacrurus occidentalis",2
"1349","Embiotoca lateralis",2
"1350","Engraulis mordax",2
"1351","Engraulis ringens",2
"1352","Engyprosopon grandisquama",2
"1353","Enneapterygius tutuilae",2
"1354","Epigonus occidentalis",2
"1355","Epinephelus melanostigma",2
"1356","Eptatretus cheni",2
"1357","Ericentrus rubrus",2
"1358","Erosa erosa",2
"1359","Erythrocles scintillans",2
"1360","Etelis radiosus",2
"1361","Etmopterus granulosus",2
"1362","Eudyptula minor",2
"1363","Eurypleuron cinereum",2
"1364","Eustomias bituberoides",2
"1365","Eustomias curtatus",2
"1366","Eustomias fissibarbis",2
"1367","Eustomias trewavasae",2
"1368","Eustomias uniramis",2
"1369","Flagellostomias boureei",2
"1370","Fowleria marmorata",2
"1371","Genyonemus lineatus",2
"1372","Gigantactis vanhoeffeni",2
"1373","Ginglymostoma cirratum",2
"1374","Glyptocephalus zachirus",2
"1375","Gnathanodon speciosus",2
"1376","Gnathodentex aureolineatus",2
"1377","Gnatholepis cauerensis",2
"1378","Gnathophis parini",2
"1379","Gobiomorphus gobioides",2
"1380","Gobiomorus dormitor",2
"1381","Gonorynchus gonorynchus",2
"1382","Grammicolepis brachiusculus",2
"1383","Guttigadus kongi",2
"1384","Gymnocanthus tricuspis",2
"1385","Gymnoscopelus braueri",2
"1386","Gymnoscopelus nicholsi",2
"1387","Gymnothorax castaneus",2
"1388","Gymnothorax margaritophorus",2
"1389","Gymnothorax meleagris",2
"1390","Gymnothorax mordax",2
"1391","Gymnothorax pictus",2
"1392","Gymnothorax richardsonii",2
"1393","Gymnothorax rueppelliae",2
"1394","Gymnothorax tile",2
"1395","Halosaurus ovenii",2
"1396","Hemigymnus melapterus",2
"1397","Hemiramphus brasiliensis",2
"1398","Hemiramphus lutkei",2
"1399","Heniochus varius",2
"1400","Herklotsichthys quadrimaculatus",2
"1401","Heteroclinus heptaeolus",2
"1402","Hime japonica",2
"1403","Hippoglossus stenolepis",2
"1404","Histiobranchus bathybius",2
"1405","Hymenocephalus neglectissimus",2
"1406","Hypomesus nipponensis",2
"1407","Icelinus filamentosus",2
"1408","Ilyophis blachei",2
"1409","Ilyophis saldanhai",2
"1410","Inimicus sinensis",2
"1411","Ipnops meadi",2
"1412","Istiblennius dussumieri",2
"1413","Istigobius hoesei",2
"1414","Kuronezumia pallida",2
"1415","Lactoria cornuta",2
"1416","Lampanyctodes hectoris",2
"1417","Lampanyctus macropterus",2
"1418","Larus atricilla",2
"1419","Larus californicus",2
"1420","Larus dominicanus",2
"1421","Larus occidentalis",2
"1422","Latridopsis forsteri",2
"1423","Latris lineata",2
"1424","Lepidophanes guentheri",2
"1425","Lepidotrigla brachyoptera",2
"1426","Leptostomias gladiator",2
"1427","Lestidiops mirabilis",2
"1428","Lestidium atlanticum",2
"1429","Liza vaigiensis",2
"1430","Luciosudis normani",2
"1431","Lutjanus jordani",2
"1432","Lycodes brevipes",2
"1433","Malacosarcus macrostoma",2
"1434","Mancopsetta maculata",2
"1435","Margrethia valentinae",2
"1436","Maulisia argipalla",2
"1437","Maurolicus australis",2
"1438","Meadia abyssalis",2
"1439","Melamphaes microps",2
"1440","Melichthys vidua",2
"1441","Menticirrhus americanus",2
"1442","Mesoplodon layardii",2
"1443","Mesopristes kneri",2
"1444","Metavelifer multiradiatus",2
"1445","Micrometrus minimus",2
"1446","Microstomus shuntovi",2
"1447","Mobula munkiana",2
"1448","Mobula thurstoni",2
"1449","Molgula manhattensis",2
"1450","Mollisquama parini",2
"1451","Mustelus lunulatus",2
"1452","Myctophum affine",2
"1453","Nannobrachium gibbsi",2
"1454","Nannobrachium idostigma",2
"1455","Nannobrachium wisneri",2
"1456","Nasolamia velox",2
"1457","Naso lituratus",2
"1458","Negaprion brevirostris",2
"1459","Nemichthys larseni",2
"1460","Nemipterus virgatus",2
"1461","Neoniphon sammara",2
"1462","Nettastoma parviceps",2
"1463","Notophycis fitchi",2
"1464","Oceanodroma tethys",2
"1465","Octacnemus bythius",2
"1466","Odontostomops normalops",2
"1467","Omobranchus loxozonus",2
"1468","Omobranchus obliquus",2
"1469","Omobranchus punctatus",2
"1470","Oneirodes sabex",2
"1471","Ophiocara porocephala",2
"1472","Ophisurus serpens",2
"1473","Ostorhinchus lateralis",2
"1474","Ostorhinchus margaritophorus",2
"1475","Ostorhinchus novemfasciatus",2
"1476","Oxycheilinus celebicus",2
"1477","Oxycirrhites typus",2
"1478","Oxymonacanthus longirostris",2
"1479","Oxynotus bruniensis",2
"1480","Pachycara bulbiceps",2
"1481","Parablennius tasmanianus",2
"1482","Paracentropogon longispinis",2
"1483","Paracirrhites arcatus",2
"1484","Paracirrhites forsteri",2
"1485","Paraliparis rosaceus",2
"1486","Paralonchurus petersii",2
"1487","Parapercis dockinsi",2
"1488","Parapercis millepunctata",2
"1489","Parapercis nebulosa",2
"1490","Parapercis roseoviridis",2
"1491","Parioglossus raoi",2
"1492","Parmaturus xaniurus",2
"1493","Parupeneus indicus",2
"1494","Parupeneus insularis",2
"1495","Parvilux ingens",2
"1496","Pentapodus emeryii",2
"1497","Periophthalmus argentilineatus",2
"1498","Periophthalmus modestus",2
"1499","Perophora annectens",2
"1500","Perophora viridis",2
"1501","Pervagor melanocephalus",2
"1502","Pervagor spilosoma",2
"1503","Phanerodon furcatus",2
"1504","Physiculus grinnelli",2
"1505","Physiculus parini",2
"1506","Plagiogeneion unispina",2
"1507","Plagiotremus ewaensis",2
"1508","Platax batavianus",2
"1509","Plectranthias fourmanoiri",2
"1510","Plectranthias parini",2
"1511","Plectroglyphidodon leucozonus",2
"1512","Plesiops insularis",2
"1513","Pleurosicya muscarum",2
"1514","Polyclinum constellatum",2
"1515","Polyclinum sluiteri",2
"1516","Polyipnus matsubarai",2
"1517","Polymixia berndti",2
"1518","Poromitra megalops",2
"1519","Priacanthus alalaua",2
"1520","Priolepis limbatosquamis",2
"1521","Priolepis nuchifasciatus",2
"1522","Pristiapogon kallopterus",2
"1523","Psammogobius biocellatus",2
"1524","Psenopsis humerosa",2
"1525","Pseudanthias thompsoni",2
"1526","Pseudanthias ventralis",2
"1527","Pseudoscopelus scriptus",2
"1528","Pseudotriakis microdon",2
"1529","Pterodroma nigripennis",2
"1530","Pterodroma phaeopygia",2
"1531","Puffinus carneipes",2
"1532","Pyrosoma atlanticum",2
"1533","Rhabdoblennius snowi",2
"1534","Rhinecanthus rectangulus",2
"1535","Rhinobatos glaucostigma",2
"1536","Rhinoptera steindachneri",2
"1537","Rondeletia bicolor",2
"1538","Rosenblattichthys alatus",2
"1539","Rosenblattichthys hubbsi",2
"1540","Samariscus triocellatus",2
"1541","Sardinella melanura",2
"1542","Sardinops sagax",2
"1543","Sargocentron punctatissimum",2
"1544","Saurenchelys stylura",2
"1545","Scarus psittacus",2
"1546","Schedophilus velaini",2
"1547","Schindleria praematura",2
"1548","Scolopsis trilineata",2
"1549","Scomber japonicus",2
"1550","Scomberoides lysan",2
"1551","Scopelengys tristis",2
"1552","Scopeloberyx microlepis",2
"1553","Scopelosaurus adleri",2
"1554","Scopelosaurus ahlstromi",2
"1555","Scopelosaurus lepidus",2
"1556","Scorpaena uncinata",2
"1557","Scorpaenopsis gibbosa",2
"1558","Sebastes aleutianus",2
"1559","Sebastes maliger",2
"1560","Sebastolobus altivelis",2
"1561","Seriphus politus",2
"1562","Serrivomer bertini",2
"1563","Siganus punctatus",2
"1564","Sigmops longipinnis",2
"1565","Snyderidia canina",2
"1566","Sphyrna zygaena",2
"1567","Squaliolus laticaudus",2
"1568","Squalogadus modificatus",2
"1569","Squalus albifrons",2
"1570","Stegastes aureus",2
"1571","Stercorarius parasiticus",2
"1572","Sterna striata",2
"1573","Sternoptyx obscura",2
"1574","Stethojulis notialis",2
"1575","Stomias atriventer",2
"1576","Styela clavata",2
"1577","Styela sericata",2
"1578","Suezichthys aylingi",2
"1579","Sufflamen chrysopterum",2
"1580","Sula dactylatra",2
"1581","Symbolophorus reversus",2
"1582","Symphurus orientalis",2
"1583","Symphysanodon parini",2
"1584","Synagrops argyreus",2
"1585","Synanceia verrucosa",2
"1586","Synchiropus kanmuensis",2
"1587","Synchiropus ocellatus",2
"1588","Synodus binotatus",2
"1589","Synthliboramphus antiquus",2
"1590","Takifugu poecilonotus",2
"1591","Taractes rubescens",2
"1592","Tenualosa ilisha",2
"1593","Thalassoma jansenii",2
"1594","Thunnus maccoyii",2
"1595","Torpedo microdiscus",2
"1596","Torquigener tuberculiferus",2
"1597","Trachicephalus uranoscopus",2
"1598","Traustedtia multitentaculata",2
"1599","Triglops scepticus",2
"1600","Trigonolampa miriceps",2
"1601","Trimma okinawae",2
"1602","Tubbia stewarti",2
"1603","Tylosurus acus",2
"1604","Upeneus moluccensis",2
"1605","Upeneus sundaicus",2
"1606","Urolophus expansus",2
"1607","Urolophus halleri",2
"1608","Uropterygius concolor",2
"1609","Valenciennea sexguttata",2
"1610","Winteria telescopa",2
"1611","Woodsia nonsuchae",2
"1612","Xenocephalus armatus",2
"1613","Xenocephalus innotabilis",2
"1614","Xenocys jessiae",2
"1615","Xenophthalmichthys danae",2
"1616","Zanclus cornutus",2
"1617","Zaniolepis latipinnis",2
"1618","Zapteryx exasperata",2
"1619","Zoramia perlita",2
"1620","Ablennes hians",1
"1621","Abudefduf vaigiensis",1
"1622","Acanthostracion polygonius",1
"1623","Acanthurus blochii",1
"1624","Acanthurus gahhm",1
"1625","Acanthurus guttatus",1
"1626","Acanthurus nigrofuscus",1
"1627","Acanthurus nigroris",1
"1628","Acanthurus triostegus",1
"1629","Aethia psittacula",1
"1630","Albula argentea",1
"1631","Albula glossodonta",1
"1632","Aldrovandia oleosa",1
"1633","Alepocephalus tenebrosus",1
"1634","Allocareproctus jordani",1
"1635","Allocyttus folletti",1
"1636","Aluterus monoceros",1
"1637","Ambassis interrupta",1
"1638","Amblyeleotris guttata",1
"1639","Amblyglyphidodon aureus",1
"1640","Amblyraja badia",1
"1641","Ammodytes hexapterus",1
"1642","Ammodytoides pylei",1
"1643","Amoya madraspatensis",1
"1644","Amphiprion chrysopterus",1
"1645","Amphistichus argenteus",1
"1646","Amphistichus koelzi",1
"1647","Amphistichus rhodoterus",1
"1648","Anampses cuvier",1
"1649","Anguilla megastoma",1
"1650","Anodontostoma chacunda",1
"1651","Antigonia malayana",1
"1652","Aphanopus arigato",1
"1653","Aphanopus capricornis",1
"1654","Aphanopus carbo",1
"1655","Aphanopus mikhailini",1
"1656","Aphos porosus",1
"1657","Apogonichthys perdix",1
"1658","Apogon talboti",1
"1659","Apolemichthys arcuatus",1
"1660","Aporops bilinearis",1
"1661","Aprion virescens",1
"1662","Apristurus herklotsi",1
"1663","Apristurus longicephalus",1
"1664","Apristurus melanoasper",1
"1665","Aptenodytes forsteri",1
"1666","Argyripnus atlanticus",1
"1667","Ariosoma balearicum",1
"1668","Ariosoma howensis",1
"1669","Arnoglossus debilis",1
"1670","Artedius notospilotus",1
"1671","Ascidia callosa",1
"1672","Ascidia ceratodes",1
"1673","Aseraggodes bahamondei",1
"1674","Aseraggodes lenisquamis",1
"1675","Assiculoides desmonotus",1
"1676","Asterropteryx bipunctata",1
"1677","Asterropteryx semipunctata",1
"1678","Astronesthes chrysophekadion",1
"1679","Astronesthes dupliglandis",1
"1680","Astronesthes gemmifer",1
"1681","Astronesthes kreffti",1
"1682","Astronesthes spatulifer",1
"1683","Asymmetron lucayanum",1
"1684","Atheresthes evermanni",1
"1685","Atheresthes stomias",1
